aId:ID(Amenity),:LABEL,name,_start,_end,_type,rating,url,picture_url,host_identity_verified,accomodates,bedrooms,bathrooms,beds,price,review_scores_rating
257,:Amenities,Paid valet parking on premises,,,,,,,,,,,,,
258,:Amenities,Shared pool,,,,,,,,,,,,,
259,:Amenities,Marie Stella Maris luxury brand conditioner,,,,,,,,,,,,,
260,:Amenities,Marie Stella Maris luxury brand body soap,,,,,,,,,,,,,
261,:Amenities,"Retro stereo with Digitial radio, CD,  bluetooth connection for you to connect your Spotify sound system with Bluetooth and aux",,,,,,,,,,,,,
262,:Amenities,Bosch refrigerator,,,,,,,,,,,,,
263,:Amenities,Extra large chef stove with 6 burners stainless steel gas stove,,,,,,,,,,,,,
264,:Amenities,Marie Stella Maris luxury brand shampoo,,,,,,,,,,,,,
265,:Amenities,Hotel chef oven stainless steel oven,,,,,,,,,,,,,
266,:Amenities,ATAG oven,,,,,,,,,,,,,
267,:Amenities,Paid parking lot on premises – 10 spaces,,,,,,,,,,,,,
268,:Amenities,n.vt. conditioner,,,,,,,,,,,,,
269,:Amenities,LUX body soap,,,,,,,,,,,,,
270,:Amenities,Private pool,,,,,,,,,,,,,
271,:Amenities,DENON - BOSE sound system,,,,,,,,,,,,,
272,:Amenities,Fast wifi – 115 Mbps,,,,,,,,,,,,,
273,:Amenities,"55"" HDTV with Netflix, premium cable",,,,,,,,,,,,,
274,:Amenities,normal body soap,,,,,,,,,,,,,
275,:Amenities,"55"" HDTV with HBO Max, standard cable, premium cable",,,,,,,,,,,,,
276,:Amenities,"HDTV with Chromecast, Netflix, standard cable",,,,,,,,,,,,,
277,:Amenities,Brandless body soap,,,,,,,,,,,,,
278,:Amenities,Several brands conditioner,,,,,,,,,,,,,
279,:Amenities,Ping pong table,,,,,,,,,,,,,
280,:Amenities,Dryer – In building,,,,,,,,,,,,,
281,:Amenities,Washer – In building,,,,,,,,,,,,,
282,:Amenities,unicura or dettol body soap,,,,,,,,,,,,,
283,:Amenities,Clothing storage: dresser and wardrobe,,,,,,,,,,,,,
284,:Amenities,Clothing storage: closet and walk-in closet,,,,,,,,,,,,,
285,:Amenities,sonos sound system,,,,,,,,,,,,,
286,:Amenities,Kupperbusch refrigerator,,,,,,,,,,,,,
287,:Amenities,"Weleda, Rituals body soap",,,,,,,,,,,,,
288,:Amenities,Aveda conditioner,,,,,,,,,,,,,
289,:Amenities,Kupperbusch oven,,,,,,,,,,,,,
290,:Amenities,"30"" TV with standard cable",,,,,,,,,,,,,
291,:Amenities,Guhl conditioner,,,,,,,,,,,,,
292,:Amenities,Radiant heating,,,,,,,,,,,,,
293,:Amenities,Khiels body soap,,,,,,,,,,,,,
294,:Amenities,any body soap,,,,,,,,,,,,,
295,:Amenities,any conditioner,,,,,,,,,,,,,
296,:Amenities,Game console: PS3,,,,,,,,,,,,,
297,:Amenities,Wifi – 18 Mbps,,,,,,,,,,,,,
298,:Amenities,"60"" HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix",,,,,,,,,,,,,
299,:Amenities,Siemens (high end) stainless steel oven,,,,,,,,,,,,,
300,:Amenities,Game console: Nintendo Wii U and PS4,,,,,,,,,,,,,
301,:Amenities,L'oreal conditioner,,,,,,,,,,,,,
302,:Amenities,Sanex body soap,,,,,,,,,,,,,
303,:Amenities,Marshall sound system with Bluetooth and aux,,,,,,,,,,,,,
304,:Amenities,Fast wifi – 100 Mbps,,,,,,,,,,,,,
305,:Amenities,Fast wifi – 302 Mbps,,,,,,,,,,,,,
306,:Amenities,Free dryer – In building,,,,,,,,,,,,,
307,:Amenities,Syoss shampoo,,,,,,,,,,,,,
308,:Amenities,Liebherr refrigerator,,,,,,,,,,,,,
309,:Amenities,Fast wifi – 90 Mbps,,,,,,,,,,,,,
310,:Amenities,Nivea showercreme body soap,,,,,,,,,,,,,
311,:Amenities,"Dedicated workspace: monitor, office chair, table, and desk",,,,,,,,,,,,,
312,:Amenities,"Dedicated workspace: office chair, table, monitor, and desk",,,,,,,,,,,,,
313,:Amenities,Unicura anti bacterial soap body soap,,,,,,,,,,,,,
314,:Amenities,Smeg refrigerator,,,,,,,,,,,,,
315,:Amenities,"TV with Apple TV, Netflix, standard cable",,,,,,,,,,,,,
316,:Amenities,* Use 'Liebherr' fridge in kitchen. * I wash the dishes. refrigerator,,,,,,,,,,,,,
317,:Amenities,Paid washer – In building,,,,,,,,,,,,,
318,:Amenities,Paid dryer – In building,,,,,,,,,,,,,
319,:Amenities,Verschillende merken.  body soap,,,,,,,,,,,,,
320,:Amenities,Dove shampoo,,,,,,,,,,,,,
321,:Amenities,Free driveway parking on premises – 2 spaces,,,,,,,,,,,,,
322,:Amenities,Samsung oven,,,,,,,,,,,,,
323,:Amenities,HDTV with Netflix,,,,,,,,,,,,,
324,:Amenities,"Dedicated workspace: table, desk, monitor, and office chair",,,,,,,,,,,,,
325,:Amenities,Etna oven,,,,,,,,,,,,,
326,:Amenities,Zanussi refrigerator,,,,,,,,,,,,,
327,:Amenities,Philips sound system with aux,,,,,,,,,,,,,
328,:Amenities,"Dedicated workspace: desk, table, and monitor",,,,,,,,,,,,,
329,:Amenities,Shared outdoor pool,,,,,,,,,,,,,
330,:Amenities,Game console: Nintendo Switch,,,,,,,,,,,,,
331,:Amenities,Clothing storage: wardrobe and dresser,,,,,,,,,,,,,
332,:Amenities,Private sauna,,,,,,,,,,,,,
333,:Amenities,"Dedicated workspace: office chair, table, desk, and monitor",,,,,,,,,,,,,
334,:Amenities,"TV with standard cable, Netflix",,,,,,,,,,,,,
335,:Amenities,Wifi – 37 Mbps,,,,,,,,,,,,,
336,:Amenities,Fenced garden or backyard,,,,,,,,,,,,,
337,:Amenities,Dove  body soap,,,,,,,,,,,,,
338,:Amenities,Game console: Nintendo Wii,,,,,,,,,,,,,
339,:Amenities,"HDTV with standard cable, Amazon Prime Video, Netflix, premium cable",,,,,,,,,,,,,
340,:Amenities,SONOS sound system,,,,,,,,,,,,,
341,:Amenities,"Dedicated workspace: desk, table, monitor, and office chair",,,,,,,,,,,,,
342,:Amenities,"42"" HDTV with premium cable",,,,,,,,,,,,,
343,:Amenities,Various shampoo,,,,,,,,,,,,,
344,:Amenities,Various body soap,,,,,,,,,,,,,
345,:Amenities,Zepplin Bluetooth sound system,,,,,,,,,,,,,
346,:Amenities,Bio body soap,,,,,,,,,,,,,
347,:Amenities,Orofluido conditioner,,,,,,,,,,,,,
348,:Amenities,Samsung refrigerator,,,,,,,,,,,,,
349,:Amenities,Orofluido shampoo,,,,,,,,,,,,,
350,:Amenities,house body soap,,,,,,,,,,,,,
351,:Amenities,"32"" TV with standard cable",,,,,,,,,,,,,
352,:Amenities,Philips SoundBar sound system with aux,,,,,,,,,,,,,
353,:Amenities,"42"" HDTV with Netflix, Amazon Prime Video, Apple TV",,,,,,,,,,,,,
354,:Amenities,Normal body soap,,,,,,,,,,,,,
355,:Amenities,"47"" HDTV with standard cable",,,,,,,,,,,,,
356,:Amenities,"50"" HDTV with Chromecast",,,,,,,,,,,,,
357,:Amenities,"HDTV with standard cable, Amazon Prime Video, Apple TV, Netflix",,,,,,,,,,,,,
358,:Amenities,"77"" HDTV with Amazon Prime Video, Apple TV, Chromecast, HBO Max, Netflix, premium cable, standard cable",,,,,,,,,,,,,
359,:Amenities,Wifi – 23 Mbps,,,,,,,,,,,,,
360,:Amenities,Dove conditioner,,,,,,,,,,,,,
361,:Amenities,"75"" HDTV with standard cable, Chromecast, Netflix, Apple TV",,,,,,,,,,,,,
362,:Amenities,Denon sound system with Bluetooth and aux,,,,,,,,,,,,,
363,:Amenities,Fast wifi – 74 Mbps,,,,,,,,,,,,,
364,:Amenities,"HDTV with standard cable, Amazon Prime Video, Chromecast, Netflix",,,,,,,,,,,,,
365,:Amenities,SIEMENS refrigerator,,,,,,,,,,,,,
366,:Amenities,Samsung (TV) Bluetooth sound system,,,,,,,,,,,,,
367,:Amenities,"65"" HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",,,,,,,,,,,,,
368,:Amenities,"Dedicated workspace: office chair, desk, table, and monitor",,,,,,,,,,,,,
369,:Amenities,SMEG stainless steel stove,,,,,,,,,,,,,
370,:Amenities,"Dedicated workspace: table, monitor, and office chair",,,,,,,,,,,,,
371,:Amenities,Sonos  sound system,,,,,,,,,,,,,
372,:Amenities,Whirlpool  induction stove,,,,,,,,,,,,,
373,:Amenities,Regular body soap,,,,,,,,,,,,,
374,:Amenities,Siemens  oven,,,,,,,,,,,,,
375,:Amenities,QUAD 33/303 - Diapason Micra - Macbook+Spotify Pro sound system with Bluetooth and aux,,,,,,,,,,,,,
376,:Amenities,Ski-in/Ski-out,,,,,,,,,,,,,
377,:Amenities,Fast wifi – 433 Mbps,,,,,,,,,,,,,
378,:Amenities,various body soap,,,,,,,,,,,,,
379,:Amenities,Siemens induction stove,,,,,,,,,,,,,
380,:Amenities,"44"" HDTV with Amazon Prime Video, Netflix, premium cable, standard cable",,,,,,,,,,,,,
